Timestamp,Lead,Value
2026-02-17T10:20:23.671Z,ECG_LEAD_II,800
2026-02-17T10:20:23.671Z,ECG_LEAD_II,800
2026-02-17T10:20:23.671Z,ECG_LEAD_II,800
2026-02-17T10:20:23.671Z,ECG_LEAD_II,800
2026-02-17T10:20:23.671Z,ECG_LEAD_II,800
2026-02-17T10:20:23.671Z,ECG_LEAD_II,800
2026-02-17T10:20:23.671Z,ECG_LEAD_II,800
2026-02-17T10:20:23.671Z,ECG_LEAD_II,800
2026-02-17T10:20:23.671Z,ECG_LEAD_II,800
2026-02-17T10:20:23.671Z,ECG_LEAD_II,800
2026-02-17T10:20:23.671Z,ECG_LEAD_II,-200
2026-02-17T10:20:23.671Z,ECG_LEAD_II,-200
2026-02-17T10:20:23.671Z,ECG_LEAD_II,-200
2026-02-17T10:20:23.671Z,ECG_LEAD_II,-200
2026-02-17T10:20:23.671Z,ECG_LEAD_II,-200
2026-02-17T10:20:23.671Z,ECG_LEAD_II,-200
2026-02-17T10:20:23.671Z,ECG_LEAD_II,-200
2026-02-17T10:20:23.671Z,ECG_LEAD_II,-200
2026-02-17T10:20:23.671Z,ECG_LEAD_II,-200
2026-02-17T10:20:23.671Z,ECG_LEAD_II,-200
2026-02-17T10:20:23.671Z,ECG_LEAD_II,20
2026-02-17T10:20:23.671Z,ECG_LEAD_II,20
2026-02-17T10:20:23.671Z,ECG_LEAD_II,20
2026-02-17T10:20:23.671Z,ECG_LEAD_II,20
2026-02-17T11:37:01.002Z,ECG_LEAD_II,800
2026-02-17T11:37:01.002Z,ECG_LEAD_II,800
2026-02-17T11:37:01.002Z,ECG_LEAD_II,800
2026-02-17T11:37:01.002Z,ECG_LEAD_II,800
2026-02-17T11:37:01.002Z,ECG_LEAD_II,800
2026-02-17T11:37:01.002Z,ECG_LEAD_II,800
2026-02-17T11:37:01.002Z,ECG_LEAD_II,800
2026-02-17T11:37:01.002Z,ECG_LEAD_II,800
2026-02-17T11:37:01.002Z,ECG_LEAD_II,800
2026-02-17T11:37:01.002Z,ECG_LEAD_II,800
2026-02-17T11:37:01.002Z,ECG_LEAD_II,-200
2026-02-17T11:37:01.002Z,ECG_LEAD_II,-200
2026-02-17T11:37:01.002Z,ECG_LEAD_II,-200
2026-02-17T11:37:01.002Z,ECG_LEAD_II,-200
2026-02-17T11:37:01.002Z,ECG_LEAD_II,-200
2026-02-17T11:37:01.002Z,ECG_LEAD_II,-200
2026-02-17T11:37:01.002Z,ECG_LEAD_II,-200
2026-02-17T11:37:01.002Z,ECG_LEAD_II,-200
2026-02-17T11:37:01.002Z,ECG_LEAD_II,-200
2026-02-17T11:37:01.002Z,ECG_LEAD_II,-200
2026-02-17T11:37:01.002Z,ECG_LEAD_II,20
2026-02-17T11:37:01.002Z,ECG_LEAD_II,20
2026-02-17T11:37:01.002Z,ECG_LEAD_II,20
2026-02-17T11:37:01.002Z,ECG_LEAD_II,20
